,Index KMO
Agricultura vanatoare,0.6095533969068176
Silvicultura exploatarea forestiera,0.15042781103105135
Pescuit si piscicultura,0.7332762950486261
Industria extractiva,0.8026310564154434
D Industria prelucratoare,0.8791647929866129
Energie electrica si termica gaze si apa,0.7430943642376137
Constructii,0.9347467847984404
Comert,0.832546131190249
Hoteluri si restaurante,0.8798452493722196
Transport si depozitare,0.8099553881352712
Posta si telecomunicatii,0.8543503403264633
Intermedieri financiare,0.854353859829307
Tranzactii imobiliare si alte servicii,0.8596270875023988
Administratie publica si aparare,0.8721343259675773
Invatamant,0.837686471773507
Sanatate si asistenta sociala,0.8006912149624558
Celelalte activitati ale economiei nationale,0.8742971432734241
KMO Global,0.8359627984797836
