,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
Agricultura vanatoare,-0.13490564627296905,-0.1104799069516435,0.9712060513752583,0.14555188205743422,0.012031897335108333,0.00013215558559831638,0.0003146119414512391,-0.0021704320296874052,-0.0017497817465793504,-0.0039295027648759365,0.00034845970729615884,5.826921819137152e-05,0.0007003082589085888,0.00015111387345148982,3.783875310330149e-05,0.0,0.0
Silvicultura exploatarea forestiera,-0.054765307802528,0.06146387854634739,0.1358920386679454,0.9662350858316276,0.0039889863767377035,-0.0015963720622624287,-0.0006548158401741547,-0.0021752858903332038,-0.0003977090637780611,-0.001263742854638318,-0.0003103844324817061,-0.00017816480546094523,-8.25112376409901e-05,8.141295874196971e-05,-3.67003801843123e-06,0.0,0.0
Pescuit si piscicultura,-0.1877355981080054,0.9583390656489144,-0.09065150661867886,0.07859872405405854,-0.03580538807871041,-0.09043439216858452,-0.021365563618585656,-0.05534801256677527,-0.05158951256293617,-0.004201131888111283,-0.10591904627010217,-0.008687022741816305,-0.0021136693792339584,-0.0006173363901874713,-4.531750195936515e-05,0.0,0.0
Industria extractiva,-0.18428088300503112,0.9580950021975232,-0.033859272321559095,0.04813901622667364,-0.09140028589097494,-0.13997190189357428,-0.03374886332323967,-0.009299556241166872,0.039680268112071634,-0.0006448265112819811,0.0939551327631806,0.007249609551019001,-0.0026227802857886778,-0.0007948731493550118,0.0001804553482985089,0.0,0.0
D Industria prelucratoare,0.8084899583291263,-0.3877274184013717,0.08293578085999609,0.039370808438841595,0.4260449185351178,0.011471846974759297,0.02609966175224381,0.0018850364963716463,-0.015466108211770446,-0.007576841861376179,-0.0005136145906459846,-0.0008752852005176162,0.0003887729101267492,0.0005051711590219395,3.377433879033201e-05,0.0,0.0
Energie electrica si termica gaze si apa,0.1364209112079934,0.9558702896023001,-0.015113707392895427,-0.007064411254202129,0.03314423101814861,0.24468560404723794,0.013967613823881325,0.0024876829704293885,0.03343104838542005,0.000524131746168851,0.01142932414508594,0.003104411772956659,0.000433393565308347,-6.373359387905117e-05,0.00010635085011638051,0.0,0.0
Constructii,0.9150854418123183,0.35232403251729666,-0.11994552726644424,-0.03776776121530701,-0.05317458404675121,0.017690144306882916,0.012554366358236506,0.06807436078189992,-0.008597652399372407,0.009014193260445585,0.01634463831382977,0.09640152470281071,0.004948423744675335,0.0011118067223812671,-1.9399015451423847e-05,0.0,0.0
Comert,0.9735844861935131,-0.17990074957723728,-0.046252395203945584,-0.009633535352776171,0.10386589275778339,0.013715155354039792,0.04042669012783141,-0.010977331506852572,-0.01704099890265828,0.024947563588438377,0.0013793485475738065,-0.0034282901520012368,-0.001960134303856978,0.02047945948793932,-0.003624739922046797,0.0,0.0
Hoteluri si restaurante,0.6389835481631836,0.7224704063407066,-0.0598324493579639,-0.04236649383098489,0.017570281502741685,0.0037284166358043107,0.05904144833077632,0.2354711540895155,-0.008642677511013695,0.0010330054844627154,0.004324416739734639,0.005251822654892963,0.0015157149181683337,-0.0005099165844945193,-6.308009489719858e-05,0.0,0.0
Transport si depozitare,0.9328770374437864,-0.20298015472348876,-0.0163362773459808,-0.034589806456687223,0.1376282001512686,0.023701010462880406,0.24283477802031161,0.05847053400331575,-0.021488126439091346,0.0014908027881391644,0.00011430991554056212,0.002362993870388498,0.000767889318752901,0.00015983926752896065,0.0001675161863344542,0.0,0.0
Posta si telecomunicatii,0.9690390924213266,0.0918834426061866,-0.16852620918007066,-0.04551113297042967,-0.06335447794420371,-0.002467393213150513,-0.07361664811948279,-0.02144686562297456,0.06046333657851341,0.05145909367255743,-0.006853561143168313,-0.04065382192674134,-0.029957711045810735,-0.003741467895564731,-0.0019464921036339699,0.0,0.0
Intermedieri financiare,0.7775599929363448,0.5474672787893917,-0.19507454252636347,-0.0770894896179866,-0.08259627210453065,0.07434277594379296,-0.09554489051773403,0.08294433248620788,0.0037608866639626762,0.12825964688635383,0.00932139958549509,0.0298566404811938,0.02903199510518461,0.002397427696760349,0.007097552701027492,0.0,0.0
Tranzactii imobiliare si alte servicii,0.9751115499267664,-0.03598049657859708,-0.16428276328321856,-0.05400463526449134,-0.06624872551899802,-0.005548629712922076,-0.01890705370761733,-0.036606024897270065,0.00809195271544333,0.06801561789711197,-0.004012043470199848,-0.04321875138162542,-0.039572870623674726,0.008668680117230794,5.115343246032453e-05,0.0,0.0
Administratie publica si aparare,0.838659381869883,0.47736617820863037,-0.04445227551197628,-0.013332640698149321,-0.11544186309634588,0.04087707871732909,-0.031410599188308165,-0.009636233854105608,0.21343458717356487,0.0003566246533696113,0.010371778232052058,-0.0006957747037168535,-5.67594998220649e-05,-9.582059976630986e-05,3.8468972270325575e-05,0.0,0.0
Invatamant,0.9740765752040256,0.0939378327017385,0.11110052964368067,0.017338689822424622,0.06542572475093435,0.05246093382498259,-0.060206986192096044,0.021113287959019313,0.013394173098883917,-0.11459118701692135,0.00771455973118473,0.010732375532629188,0.013394376518171406,0.004337803539329366,0.008343040727158094,0.0,0.0
Sanatate si asistenta sociala,0.9644732680517472,-0.144667830410215,0.06636519789041152,-0.04088069753402404,0.14221377054176565,0.009967717048307786,-0.01100038829337208,0.036155738551265804,-0.07629428464691848,-0.07809526130576232,-0.005734589933623801,0.037440474380570174,0.0568732667930224,0.0006339011071147643,-0.00233741228164941,0.0,0.0
Celelalte activitati ale economiei nationale,0.9797043869086366,0.016907190917933884,-0.1533164271333441,-0.06706206071423956,-0.06191528808807797,0.007579257852383831,0.007256313834492731,0.034273084804515845,0.0005826199217075563,0.0327814008206956,0.00033303818345425024,-0.020904063416991647,0.0002791907435397151,-0.030190295253221082,-0.0012410668364672172,0.0,0.0
